ID,Drag_Value
F_D_WM_WW_0001,0.2758330686320894
F_D_WM_WW_0002,0.279601692104593
F_D_WM_WW_0003,0.2728372840358691
F_D_WM_WW_0004,0.2577121556208067
F_D_WM_WW_0005,0.2678900635827639
F_D_WM_WW_0006,0.2774151530752517
F_D_WM_WW_0008,0.268218432875674
F_D_WM_WW_0009,0.2704662844427929
F_D_WM_WW_0010,0.2849148534560543
F_D_WM_WW_0011,0.263572757631452
F_D_WM_WW_0012,0.2747048210377882
F_D_WM_WW_0013,0.2745364367752132
F_D_WM_WW_0014,0.271801829537252
F_D_WM_WW_0015,0.276729524483394
F_D_WM_WW_0016,0.2776524774514132
F_D_WM_WW_0017,0.2828742264982334
F_D_WM_WW_0018,0.2775914164423525
F_D_WM_WW_0019,0.2734444427896552
F_D_WM_WW_0020,0.2778899306815525
F_D_WM_WW_0021,0.2550083302261402
F_D_WM_WW_0022,0.2810199717811187
F_D_WM_WW_0023,0.2848596213384864
F_D_WM_WW_0024,0.3102429442436092
F_D_WM_WW_0025,0.260141711742952
F_D_WM_WW_0026,0.2575314588047249
F_D_WM_WW_0027,0.2420353593385376
F_D_WM_WW_0028,0.2646588638794727
F_D_WM_WW_0029,0.2686105051865705
F_D_WM_WW_0030,0.2792233074640579
F_D_WM_WW_0031,0.2792597363670092
F_D_WM_WW_0032,0.2825863890724123
F_D_WM_WW_0033,0.266490703932677
F_D_WM_WW_0034,0.293244389227505
F_D_WM_WW_0035,0.2706278630753527
F_D_WM_WW_0036,0.2888088020884352
F_D_WM_WW_0037,0.2717223570759931
F_D_WM_WW_0038,0.2618056659106805
F_D_WM_WW_0039,0.3077910027021394
F_D_WM_WW_0040,0.2582469118507516
F_D_WM_WW_0041,0.2783390546616856
F_D_WM_WW_0042,0.2681101270525019
F_D_WM_WW_0043,0.2643515203192388
F_D_WM_WW_0044,0.2803951844921348
F_D_WM_WW_0045,0.2646906217161462
F_D_WM_WW_0046,0.2661026134908466
F_D_WM_WW_0047,0.2591005466616029
F_D_WM_WW_0048,0.270372627917641
F_D_WM_WW_0049,0.2715224118575336
F_D_WM_WW_0050,0.2832653837297705
F_D_WM_WW_0051,0.2773287816738437
F_D_WM_WW_0052,0.2925217725815169
F_D_WM_WW_0053,0.2737378264963318
F_D_WM_WW_0054,0.2957641374456448
F_D_WM_WW_0055,0.28459716326565
F_D_WM_WW_0056,0.2664051751797973
F_D_WM_WW_0057,0.2814822147456906
F_D_WM_WW_0058,0.2619100715001943
F_D_WM_WW_0059,0.2791047408332931
F_D_WM_WW_0060,0.2695397361394956
F_D_WM_WW_0061,0.2832485873005468
F_D_WM_WW_0062,0.2798240099708297
F_D_WM_WW_0063,0.2770339346356303
F_D_WM_WW_0064,0.2722964323353276
F_D_WM_WW_0065,0.2600632193018083
F_D_WM_WW_0066,0.2856277909399329
F_D_WM_WW_0067,0.2971899897766794
F_D_WM_WW_0068,0.2554842021396648
F_D_WM_WW_0070,0.3015860516444933
F_D_WM_WW_0071,0.2714012262021621
F_D_WM_WW_0072,0.2704200509861958
F_D_WM_WW_0073,0.2957586066847465
F_D_WM_WW_0074,0.2888646332917901
